Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,Experience in SubordiNot Applicablete Judiciary,appointment_dt
M. Govindaraj,male,1960-05-19T00:00:00Z,Tamil Nadu,Madurai,2016-10-05T00:00:00Z,2022-05-18T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,Yes,"Revathy School, Tiruthuraipoondi and Government High School, Tiruthuraipoondi","Bishop Herber, Trichy",Not Available,"Govt Law Clg, Trichy",1988,1988,Tamil Nadu,No,No,No,,2016-10-05 00:00:00+00:00
Nirmal Kumar,male,1965-11-23T00:00:00Z,Tamil Nadu,Not Available,2018-06-04T00:00:00Z,2027-11-22T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,Yes,"Santhome HSC, Chennai",Madras Law College,Not Available,Madras Law College,Not Available,1989,Tamil Nadu,No,No,No,,2018-06-04 00:00:00+00:00
M. S. Ramesh,male,1963-12-28T00:00:00Z,Tamil Nadu,Chennai,2016-10-05T00:00:00Z,2025-12-27T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,1991,Tamil Nadu,No,No,No,,2016-10-05 00:00:00+00:00
M. Sundar,male,1966-07-19T00:00:00Z,Tamil Nadu,Chennai,2016-10-05T00:00:00Z,2028-07-18T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,DAV (Boys) Chennai,Madras Law College,Science,Madras Law College,Not Available,1989,Tamil Nadu,No,No,No,,2016-10-05 00:00:00+00:00
M. Sathyanarayanan,male,1959-06-10T00:00:00Z,Not Applicable,Not Applicable,2008-04-23T00:00:00Z,2021-06-09T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,Yes,Not Available,DG Vaishnav College,Commerce,"Dr. Ambedkar Govt. Law College, Pondicherry",Not Available,1983,Tamil Nadu,No,No,No,,2008-04-23 00:00:00+00:00
M. Venugopal,male,1957-05-07T00:00:00Z,Not Applicable,Not Applicable,2007-11-12T00:00:00Z,2019-05-06T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,Yes,No,No,No,No,No,M.C.T.Muthiah Chettiar High School,Pachaiyappa`s College,Arts,Madras Law College,Not Available,1981,Tamil Nadu,No,No,Yes,,2007-11-12 00:00:00+00:00
Mohammad Yusuf Eqbal,male,1951-02-13T00:00:00Z,Not Applicable,Not Applicable,1996-05-09T00:00:00Z,2016-02-12T00:00:00Z,No,No,Patna,Yes,Jharkhand,2000-11-15T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Madras,Not Applicable,Not Applicable,Yes,2012-12-24T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Ranchi Zila School,Ranchi University,Science,Not Available,1974,1975,Jharkhand,No,No,No,,1996-05-09 00:00:00+00:00
Meiyappan Chockalingam,male,1949-02-17T00:00:00Z,tamil nadu,Not Available,2000-09-27T00:00:00Z,2011-02-17T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1974,tamil nadu,No,No,No,,2000-09-27 00:00:00+00:00
M. M. Sundresh,male,1962-07-21T00:00:00Z,Tamil Nadu,Erode,2009-03-31T00:00:00Z,2024-07-20T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,No,Not Available,Loyola Chennai,Arts,Madras Law College,Not Available,1985,Tamil Nadu,No,No,No,,2009-03-31 00:00:00+00:00
Muthuswami Jaichandren,male,1955-02-25T00:00:00Z,Tamil Nadu,Not Available,2005-12-10T00:00:00Z,2017-02-23T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1983,Tamil Nadu,No,No,Yes,,2005-12-10 00:00:00+00:00
M. V. Muralidaran,male,1962-04-16T00:00:00Z,tamil Nadu,Vellore,2016-04-07T00:00:00Z,2024-04-15T00:00:00Z,No,No,Madras,Yes,Manipur,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1990,Tamil Nadu,No,No,No,,2016-04-07 00:00:00+00:00
N. Anand Venkatesh,male,1969-07-04T00:00:00Z,Tamil Nadu,Not Available,2018-06-04T00:00:00Z,2031-07-03T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,No,No,No,No,Yes,St Mary's Perambur Chennai,"AM Jain Clg, Chennai",Commerce,Madras Law College,Not Available,1993,Tamil Nadu; Pondicherry,No,No,No,,2018-06-04 00:00:00+00:00
N. Authinathan,male,1956-01-19T00:00:00Z,tamil Nadu,"Authinathapuram Village, Tuticorin District",2016-04-07T00:00:00Z,2018-01-18T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,No,No,No,No,No,No,"Caldwel High School, Thoothukudi","S. A. College, Palayamkottai",Not Available,Madurai Law College,Not Available,1981,Tamil Nadu,No,No,No,,2016-04-07 00:00:00+00:00
Satish Kumar,male,1967-05-06T00:00:00Z,Tamil Nadu,Not Available,2016-11-16T00:00:00Z,2029-05-05T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,Yes,No,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1992,Tamil Nadu,No,No,No,,2016-11-16 00:00:00+00:00
N. Seshayee,male,1963-01-08T00:00:00Z,Tamil Nadu,Kanyakumari,2016-11-16T00:00:00Z,2025-01-07T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,No,No,No,No,No,No,SLB Government Higher Secondary School,Scott Christian College,Arts,Madras Law College,1986,1986,Tamil Nadu,No,No,No,,2016-11-16 00:00:00+00:00
Nadesa Kirubakaran,male,1959-08-21T00:00:00Z,Not Applicable,Not Applicable,2009-03-31T00:00:00Z,2021-08-20T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1985,Tamil Nadu,No,No,No,,2009-03-31 00:00:00+00:00
Narayanan Vasanthakumar,male,1955-03-15T00:00:00Z,Tamil Nadu,Palliyadi,2005-12-10T00:00:00Z,2017-04-13T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,Yes,Not Available,Not Available,Science,Not Available,Not Available,1980,Tamil Nadu,No,No,Yes,,2005-12-10 00:00:00+00:00
P. Devadass,male,1955-05-15T00:00:00Z,tamil Nadu,Nathaikullam,2011-12-20T00:00:00Z,2017-05-14T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Madras Law College,Not Available,Madras Law College,Not Available,1981,Tamil Nadu,No,No,Yes,,2011-12-20 00:00:00+00:00
P. R. Shivakumar,male,1954-05-12T00:00:00Z,Not Applicable,Not Applicable,2006-09-18T00:00:00Z,2016-05-11T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1980,Tamil Nadu,No,No,Yes,,2006-09-18 00:00:00+00:00
P. Rajamanickam,male,1959-05-31T00:00:00Z,Tamil Nadu,Not Available,2017-12-01T00:00:00Z,2021-05-30T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,Not Available,Not Available,Not Available,No,No,No,,2017-12-01 00:00:00+00:00
P. Velmurugan,male,1965-06-09T00:00:00Z,Tamil Nadu,Dindigul,2016-10-05T00:00:00Z,2027-06-08T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,Yes,No,No,No,No,Yes,"C.S.M.A HSC, Dindigul","Govt Law Clg, Madurai",Not Available,"Govt Law Clg, Madurai",Not Available,1990,Tamil Nadu,No,No,No,,2016-10-05 00:00:00+00:00
Pondicherry Daivasigamani Audikesavalu,male,1970-12-30T00:00:00Z,Not Applicable,Not Applicable,2017-06-28T00:00:00Z,2032-12-29T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,Yes,Yes,No,Sir M.Venkatasubba Rao Matriculation Higher Secondary School,"SBOA School & Junior College, School Road, Anna Nagar Western Extension, Chennai",Not Available,Madras Law College,1994,1994,Tamil Nadu,No,No,Yes,,2017-06-28 00:00:00+00:00
P. N. Prakash,male,1961-01-12T00:00:00Z,Not Applicable,Not Applicable,2013-10-25T00:00:00Z,2023-01-11T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,Yes,"Hindu HSC, Chennai","DG Vaishnav, Chennai",Economics,Madras Law College,1983,1984,Tamil Nadu,No,Yes,No,,2013-10-25 00:00:00+00:00
Ponnusamy Kalaiyarasan,male,1956-05-01T00:00:00Z,tamil Nadu,Salem,2016-04-07T00:00:00Z,2018-04-15T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,"Government Arts College, Salem",Chemistry,"V.R. Law College, Nellore ",Not Available,1980,Tamil Nadu,No,Yes,Yes,,2016-04-07 00:00:00+00:00
P. T. Asha,female,1966-08-22T00:00:00Z,Tamil Nadu,Coonoor,2018-06-04T00:00:00Z,2028-08-21T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,Yes,Yes,"St.Columban's Anglo Indian Higher Secondary School, George Town and St.Anthony's Anglo Indian Higher secondary School, Egmore",Madras Law College,Not Available,Madras Law College,1988,1989,Tamil Nadu,No,No,No,,2018-06-04 00:00:00+00:00
Pushpa Sathyanarayana,female,1960-02-28T00:00:00Z,Kerala,Mannargudi,2013-10-25T00:00:00Z,2022-02-27T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,No,No,No,No,No,Not Available,SDNB Vaishnav. Chennai,English,Madras Law College,1985,1985,Tamil Nadu,No,No,No,,2013-10-25 00:00:00+00:00
R. Hemalatha,female,1963-05-01T00:00:00Z,Tamil Nadu,Not Available,2017-12-01T00:00:00Z,2025-04-30T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,"Govt Law Clg, Madurai",Not Available,"Govt Law Clg, Madurai",1986,1987,Tamil Nadu,No,No,Yes,,2017-12-01 00:00:00+00:00
R. Karuppiah,male,1953-04-07T00:00:00Z,tamil Nadu,Sivaganga,2011-12-20T00:00:00Z,2015-04-06T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,"RDM Arts Clg, Sivagnaga",Arts,Madurai law college,Not Available,1981,tamil Nadu,No,No,No,,2011-12-20 00:00:00+00:00
R. Mahadevan,male,1963-06-10T00:00:00Z,Not Applicable,Not Applicable,2013-10-25T00:00:00Z,2025-06-09T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,No,Not Available,Madras Law College,Not Available,Madras Law College,1989,1989,Tamil Nadu,No,No,No,,2013-10-25 00:00:00+00:00
R. Mala,female,1955-03-15T00:00:00Z,Not Applicable,Not Applicable,2009-03-31T00:00:00Z,2017-03-14T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1982,Tamil Nadu,No,No,No,,2009-03-31 00:00:00+00:00
R. N. Manjula,female,1964-02-16T00:00:00Z,Tamil Nadu,Not Available,2020-12-03T00:00:00Z,2022-12-03T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,1987,1987,Tamil nadu,No,No,Yes,,2020-12-03 00:00:00+00:00
R. Pongiappan,male,1960-05-12T00:00:00Z,Tamil Nadu,Erode,2017-12-01T00:00:00Z,2022-05-11T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Bangalore University,Not Available,Bangalore University,Not Available,1986,Tamil Nadu,No,No,No,,2017-12-01 00:00:00+00:00
R. S. Ramanathan,male,1953-06-16T00:00:00Z,Tamil Nadu,Tirunelveli,2009-03-31T00:00:00Z,2015-06-15T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,"St John’s College, Palayamkottai",Not Available,Madras Law College,Not Available,1976,Tamil Nadu,No,No,No,,2009-03-31 00:00:00+00:00
R. Subramanian,male,1963-07-25T00:00:00Z,Tamil Nadu,"Manangadu, Thanjavur",2016-10-05T00:00:00Z,2025-07-24T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,No,No,No,No,Yes,PS Sivaswami Iyer HSC,"AVMM Sri Pushpam Clg,Poondi",Commerce,"Dr. Ambedkar Law Clg, Pondi",1986,1986,Tamil Nadu,No,No,No,,2016-10-05 00:00:00+00:00
R. Suresh Kumar,male,1964-05-29T00:00:00Z,tamil Nadu,Pudukkottai,2016-10-05T00:00:00Z,2026-05-28T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,Yes,Yes,TELC HSc Pudukottai,"HH Raja's Clg,Pudukottai",Science,Madras Law College,1989,1989,Tamil Nadu,No,No,No,,2016-10-05 00:00:00+00:00
R. Tharani,female,1961-06-10T00:00:00Z,Tamil Nadu,Thoothukudi,2017-12-01T00:00:00Z,2023-11-30T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,1986,Tamil Nadu,No,No,No,,2017-12-01 00:00:00+00:00
Rajesh Kumar Agrawal,male,1953-05-05T00:00:00Z,Uttar Pradesh,Not Available,1999-02-05T00:00:00Z,2018-05-04T00:00:00Z,No,No,Allahabad,Yes,Madras,2013-02-07T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Madras,Not Applicable,Not Applicable,Yes,2018-05-04T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,Not Available,Allahabad University,Not Available,Allahabad University,Not Available,1976,Uttar Pradesh,No,No,No,,1999-02-05 00:00:00+00:00
Ramalingam Sudhakar,male,1959-02-14T00:00:00Z,Tamil Nadu,"Panapakkam Village, Vellore",2005-12-10T00:00:00Z,2021-02-13T00:00:00Z,No,No,Madras,Yes,J & K and Ladakh,2016-04-18T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Manipur,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,No,No,No,No,Yes,Not Available,Loyola Chennai,Science,Madras Law College,Not Available,1983,Tamil Nadu,No,No,No,,2005-12-10 00:00:00+00:00
Ramanlal Jain,male,1948-01-26T00:00:00Z,Not Applicable,Not Applicable,1995-09-18T00:00:00Z,1997-11-17T00:00:00Z,No,No,Gujarat,Yes,Madras,1996-07-11T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,Yes,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1973,Gujarat,No,No,No,,1995-09-18 00:00:00+00:00
Ratnavel Subbiah,male,1959-06-21T00:00:00Z,Tamil Nadu,Thirupudaimarathur,2008-03-24T00:00:00Z,2021-06-20T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,No,Not Available,Madras Law College,Not Available,Madras Law College,1983,1983,Tamil Nadu,No,No,No,,2008-03-24 00:00:00+00:00
R. M. T. Teeka Raman,male,1963-06-09T00:00:00Z,tamil Nadu,Not Available,2016-11-16T00:00:00Z,2025-06-08T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,Yes,No,No,No,No,Yes,Government High School,Not Available,Science,"Voorhees, Vellore",1988,1988,Tamil Nadu,No,Yes,No,,2016-11-16 00:00:00+00:00
Subramanian Ananthi,female,1960-07-31T00:00:00Z,Tamil Nadu,"Anthiyur, Erode District",2020-12-03T00:00:00Z,2022-07-30T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,Yes,Not Available,"Madras Law Clg, Madurai Law Clg",Not Available,"Madras Law Clg, Madurai Law Clg",Not Available,1983,Tamil Nadu,No,No,No,,2020-12-03 00:00:00+00:00
S. Sathi Kumar,male,1963-07-18T00:00:00Z,Tamil Nadu,Chennai,2020-12-03T00:00:00Z,2022-12-03T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,Yes,"Vellaiyan Chettiar HSC, Chennai","Sir Theagaroya Clg, Chennai",Zoology,Madras Law College,Not Available,1988,Tamil Nadu; Pondicherry,No,No,No,,2020-12-03 00:00:00+00:00
S. Vaidyanathan,male,1962-08-17T00:00:00Z,Tamil Nadu,Coimbatore,2013-10-25T00:00:00Z,2024-08-16T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,No,"Singaram Pillai, Chennai","DG Vaishnav, Chennai",Economics,Madras Law College,1985,1986,Tamil Nadu,No,Yes,No,,2013-10-25 00:00:00+00:00
S. Baskaran,male,1956-11-16T00:00:00Z,tamil Nadu,Mannargudi,2016-10-05T00:00:00Z,2018-11-15T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,"Findlay Higher Secondary School, Mannargudi and Bishop Heber College, Trichy","National College, Trichy",Economics,"Government Law College, Pondicherry",Not Available,Not Available,Not Available,No,No,No,,2016-10-05 00:00:00+00:00
S. Manikumar,male,1961-04-24T00:00:00Z,Not Applicable,Not Applicable,2006-07-31T00:00:00Z,2023-04-23T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Kerala,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,Yes,Yes,Not Available,"Ramakrishna Mission, Vivekananda College, Chennai",Chemistry,Madras Law College,1983,1983,Tamil Nadu,No,No,No,,2006-07-31 00:00:00+00:00
S. Ramathilagam,female,1957-09-25T00:00:00Z,tamil Nadu,coimbatore,2017-12-01T00:00:00Z,2019-09-24T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,Not Available,tamil nadu,No,No,Yes,,2017-12-01 00:00:00+00:00
S. Vimala,female,1957-01-11T00:00:00Z,Tamil Nadu,Cuddalore,2011-12-20T00:00:00Z,2019-01-10T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,Yes,No,No,No,No,No,Not Available,"Sitalakshmi Ramaswamy Clg, trichy",Chemistry,Madras Law College,Not Available,1983,tamil Nadu,No,No,Yes,,2011-12-20 00:00:00+00:00
Sabapathi Tamilvanan,male,1954-02-06T00:00:00Z,Not Applicable,Not Applicable,2005-12-10T00:00:00Z,2016-02-04T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1981,Tamil Nadu,No,No,Yes,,2005-12-10 00:00:00+00:00
Saminathan Nagamathu,male,1955-05-31T00:00:00Z,Tamil Nadu,Thanjavur,2007-03-22T00:00:00Z,2017-05-30T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1981,Tamil Nadu,No,No,No,,2007-03-22 00:00:00+00:00
Sanjay Kaul,male,1958-12-26T00:00:00Z,Jannu and Kashmir,Srinagar,2001-05-03T00:00:00Z,2023-12-25T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Punjab and Haryana,Madras,Not Applicable,Yes,2017-02-02T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,"Modern School, New Delhi","St. Stephen's College, Delhi",Economics,"Campus Law Centre, Delhi University",1982,1982,Delhi,No,No,No,,2001-05-03 00:00:00+00:00
